zone_id,stage
4-S1W2-401-Corner,7
RF-E-503-Parapet,7
RF-E-505-Parapet,7
RF-E-504-Parapet,7
RF-E-506-Parapet,7
RF-E-507-Parapet,7
RF-N-508-Parapet,7
RF-N-509-Parapet,7
RF-N-510-Parapet,7
RF-W1-511-Parapet,7
5-E-502-Slab,3
RF-W1-512-Parapet,7
RF-W1-513-Parapet,7
RF-S1-502-Parapet,2
RF-S3-SW-ShearWall,7
5-E-503-Slab,7
3-E-302-Slab,2
3-E-303-Slab,2
3-E-305-Slab,2
3-E-304-Slab,2
3-E-306-Slab,2
3-E-307-Slab,2
RF-N-507-Parapet,7
5-E-504-Slab,7
5-N-507-Slab,4
5-N-508-Slab,4
5-N-509-Slab,4
RF-W1-510-Parapet,7
RF-W2-501-Parapet,7
5-N-510-Slab,4
5-S3-513-Slab,1
5-S3-CP-Slab,2
5-W2-CP-Slab,2
5-E-505-Slab,7
5-W2-501-Slab,2
5-S1-501-Slab,2
RF-S3-513-Parapet,7
RF-W2-CP-Parapet,7
RF-S3-CP-Parapet,7
5-S1-502-Slab,2
4-W1-410-Slab,2
4-W1-411-Slab,2
4-W1-412-Slab,2
5-E-506-Slab,6
4-W1-413-Slab,2
4-N-407-Slab,2
4-N-408-Slab,2
4-N-409-Slab,2
4-N-410-Slab,2
5-W1-510-Slab,7
5-W1-511-Slab,7
5-W1-512-Slab,7
5-W1-513-Slab,7
4-S3-413-Slab,2
5-E-507-Slab,6
4-S3-CP-Slab,2
4-W2-CP-Slab,2
4-W2-401-Slab,2
4-S1-401-Slab,2
5-S3-SW-ShearWall,3
4-S1-402-Slab,2
3-N-307-Slab,3
3-N-308-Slab,2
3-N-309-Slab,2
3-N-310-Slab,2
RF-S1-501-Parapet,2
5-S1E-502-Corner,7
4-S3W1-413-Corner,7
5-NW1-510-Corner,7
4-E-402-Slab,0
4-E-403-Slab,0
4-E-404-Slab,0
4-E-405-Slab,0
4-E-406-Slab,0
4-E-407-Slab,0
RF-E-502-Parapet,7
